ID,Post,Label
16,"රාජ්‍ය සම්පත් අවකළමනාකරණය කර පාඩු ලබන තත්ත්වයට පත් කිරීම හේතුවෙන්, MAS ප්‍රධානියා “එල්ලා දමන” ලෙස චතුරංග අබේසිංහ ප්‍රකාශ කළා ද?",0
17,ධම්මික පෙරේරා පොදුජන පෙරමුණින් තෝරා ගත් ජනාධිපති අපේක්ෂකයාද?,0
18,එළැඹෙන මැතිවරණයක දී ජාතික ජන බලවේගය ඉදිරියෙන් සිටින බවට දැක්වෙන සමීක්ෂණයක් Verité Research විසින් සිදුකර නැහැ!,1
19,ජනවාරි සිට කොබෙයිගනේ සමූපකාරය මගින් සහන මිළට සහල් ලබා දෙන බවට පළ වන සටහන් අසත්‍යයි!,1
20,මාවතගම සමූපකාර සමිතිය විසින් කොකාකෝලා වලට සමාන පානයක් නිෂ්පාදනය කර නැහැ!,1
21,"ගාල්ලේ අමරසුරිය ගුරු විද්‍යාල ගොඩනැගිල්ල, හරිනි අමරසූරියගේ පියාට අයිතිව තිබු වලව්වක්ද?",0
22,"රසායනික වල් නාශක ඩ්‍රෝන මගින් ඉසීමෙන්, වකුගඩු රෝග 90%කින් අඩුවන බවට වෛද්‍ය නලින්ද ජයතිස්ස ප්‍රකාශ කර නොමැත!",1
23,ශ්‍රී ලංකා ක්‍රිකට් සම්බන්ධයෙන් ජාතික ජන බලවේගයේ නායකත්වය සිදුකළ ප්‍රකාශ බවට හුවමාරු වන නොමඟ යවන සුළු සටහන් පෙළක්!,1
24,MCC අරමුදල් සම්බන්ධව ආචාර්ය ජයම්පති වික්‍රමරත්න විසින් සිදුකළ ප්‍රකාශයක් ද?,0
25,ජැක්සන් කියන්නේ මාධ්‍ය වලින් පුම්බපු හිස් චරිතයක් බවට අනුර කුමාර ප්‍රකාශ කළා ද?,0
26,මාලිමා රජයක් යටතේ රෝගියෙකුට දැඩි සත්කාර ඒකකයක(ICU) ප්‍රතිකාර ගත හැකි උපරිම දින ගණන 3ක් ද?,0
27,චැනල් 4 නාලිකාව රාජපක්ෂලාට එල්ල කරන චෝදනා පිළිගැනීමට නොහැකි බව ජනාධිපති රනිල් ප්‍රකාශ කළා ද?,1
28,හෝමාගම උද්‍යානයේ අයිතිකරු ජ.වි.පෙ ප්‍රාදේශීය නායකයෙකු වන අරුණ පනාගොඩ ද?,0
29,එක්සත් ජාතින්ගේ මහා මණ්ඩලයේ දී ජනාධිපති රනිල් වික්‍රමසිංහ මහතා සැසිය අමතන අවස්ථාවක් ද?,0
30,මුහුණේ ලපයක් සහිත පුද්ගලයෙක් ලංකාද්වීපයේ පාලකයා බවටපත් වන බවට ඉන්දියාවේ නම්බි නාරායණන් පැවසූවා ද?,0
31,ඉන්දීය බිත්තර පරිභෝජනය නිසා හෘද රෝග ඉහළයාමේ ප්‍රවණතාවයක් ඇති බවට නලින් ද ජයතිස්ස ප්‍රකාශයක් සිදු කළා ද?,0
32,ඥාණසාර හිමිගෙන් ආශිර්වාද ලබාගැනීම පිලිබදව ජනතා විමුක්ති පෙරමුණ විසින් ලාල් කාන්තට එරෙහි විනය පරීක්ෂණ ආරම්භ කර නැහැ !!,1
33,බිමල් රත්නායක මෝල්ටා රාජ්‍යයේ ආයෝජනය ගැන ප්‍රකාශයක් සිදු කළා ද?,0
34,වැසි පිරිත සජ්ජායනය කිරීම සම්බන්ධයෙන් නලින් හේවගේ විසින් ප්‍රකාශක් සිදු කර නැහැ!,1
35,අරගලයට සම්බන්ධවූ පුද්ගලයන් ශ්‍රී ලංකා ධජයෙන් අමුඩ ගැසූ බවට පළවන සටහන් අසත්‍යයි !,1
36,පාර්ලිමේන්තු මන්ත්‍රීවරියන් නවසීලන්තයේ සංචාරයක යෙදුණේ මහජන බදු මුදලින් නොවේ!,1
37,ප්‍රංශ ජනපතිගේ ශ්‍රී ලංකා සංචාරය හෙළා දකින බවට අනුර දිසානායක ප්‍රකාශ කළේ නැහැ!,1
38,දිගටම පාඩු ලබන තත්වයක් හමුවේ සමිතියේ ඉදිරි කටයුතු පිලිබඳ තීරණයක් ගන්නා බවට මහව සභාපතිවරයා පවසා තිබුණා ද ?,0
39,"ඕස්ට්‍රේලියාවේදී ගිලන් රථයක් කැඳවු විට, ඒ සමඟ අතිරේක ගිලන් රථයක් ද පැමිණෙන්නේ නැහැ!",1
40,දෙනියාය සණස නගර ශාඛාවේ නිලවරණයේදී 86% ක බලය මාලිමාවට ලැබුණා ද?,1
41,කප්පම් ගැනීම බුදු දහමට විරුද්ධ නොවන බවට ඇමති ප්‍රසන්න රණතුංග ප්‍රකාශයක් කළා ද?,0
42,ලංකාවේ ඛනිජතෙල් බෙදාහැරීමට ගිවිසුම් ගතවූ සිනොපෙක් සමාගමේ දේශීය නියෝජිතයා වශයෙන් කටයුතු කරන්නේ මැක්ලරන්ස් සමාගම නොවේ!,1
43,"වසා දැමීමට තීරණයවූ මීපේ හයිඩ්රාමනි කර්මාන්තශාලාව, ජවිපෙ බලය හිමි, මහව සමුපකාරයෙන් මිලට ගෙන නැහැ !",1
44,ජාතික ජන බලවේගයේ මැයි දින රැළිය ඇසුරින් සකසන ලද උපහාසාත්මක සංස්කරණ පෙළක්!,1
45,අලුවිහාරේ සහෝදරයින් නැවතත් එජාපයට ?,0
46,ශෂීන්ද්‍ර රාජපක්ෂ විල්ගමුව රක්ෂිතයේ අක්කර 120ක් පවරා ගෙන තිබෙන බවට පළ වන සටහන් සම්බන්ධයෙන් කරුණු පැහැදිලි කිරීමක්!,1
47,රනිල් සමඟ එක්වීම පිළිබඳ සජබ හමුවක දී ගාලගෝට්ටියක්?,1
48,හවුල් ආණ්ඩුවට එරෙහිව අප්‍රේල් 02 වන දා හිටපු ජනාධිපති මහින්ද රාජපක්ෂ මහතාගේ ප්‍රධානත්වයෙන් ජන හමුවක්?,0
49,"මාර්තු 15 වැඩ වර්ජනයට සම්බන්ධවී රැකියා අහිමි වුවහොත්, මාලිමා රජයකින් රැකියා නැවත ලබාදෙන බවට අනුර පවසා නැහැ!",1
50,අදින් පසු උද්ඝෝෂණ රටේ තහනම් බවට ජනාධිපති ප්‍රකාශයක් සිදු කළාද?,0
51,“නිධන් හෑරූ මාලිමාවේ අපේක්ෂකයින් දෙදෙනෙක් දැළේ” යනුවෙන් පුවතක් පළ වූවාද ?,0
52,ජනතා විමුක්ති පෙරමුණත් ඡන්දේ කල් දාන ලෙස තමාගෙන් ඉල්ලීමක් සිදු කළ බවට ජනාධිපති පැවසුවා ද?,0
53,පළාත් පාලන ඡන්දයේ නාමයෝජනා සියල්ල අවලංගු කළා ද?,0
54,මාලිමාවේ ආධාරකරුවන් ඇනකොටා ගත් අවස්ථාවක් ලෙස හුවමාරු වන පුවත් සංස්කරණයක්!,1
55,“සිංහලයා පැරදවිය හැක්කේ සජිත්ට ඡන්දය දුන්නොත් විතරයි” සුමන්තිරන්ගෙන් ප්‍රකාශයක්?,0
56,නිවසට පැමිණි මාලිමාවේ අපේක්ෂකයෙකු දුරකතනයක් පැහැර ගත් බවට පුවතක්?,0
57,ඉෂන්කා ජහන්වී මාලිමාවට මැතිවරණ ප්‍රචාරණ කටයුතු කරන අයුරු?,0
58,බැලුනයක් මඟින් මාලිමාව සිදුකරන නවතම මැතිවරණ ප්‍රචාරණ ක්‍රමවේදයක්?,0
59,මාලිමාව මැතිවරණ ප්‍රචාරණ වැඩසටහනකට සනත් ජයසූරිය එක් වුණා ද?,0
60,ජනාධිපති මුල්වී නුවර පැවැත්වූ නිදහස් දින සමරුමක ආචාර රථ පෙළක් ද?,0
61,දසුන් ශානකගේ සහය මාලිමාවට?,0
62,"මෙවර මාලිමාවෙන් තරඟ කරන අනිල් කේ. සේනාධීර, මීට පෙර පොහොට්ටුවෙන් තරඟ කළා ද?",0
63,ජාතික ජන බලවේගයෙන් නාමයෝජනා ලබා දුන් පුද්ගලයන් බවට ව්‍යාජ සටහන් පෙළක්!,1
64,මත්ද්‍රව්‍ය සමඟ හසුව හිරේ ගිය ‘මැන්ඩි ගිහාන්ට’ මාලිමාවෙන් අම්බලන්ගොඩ නගර සභාවට නාම යෝජනා?,0
65,නාමල් වෙනුවට අනුරගේ රුව යෙදු පාසල් බෑග් ඡායාරුප සංස්කරණයක් !,1
66,"‘ගාලු මුවදොර අරගල භූමිය, සංදර්ශන භූමියක් නොකරනු’ මැයෙන්, සංවිධාන කිහිපයක එකතුවෙන් ඒකාබද්ධ මාධ්‍ය නිවේදනයක් නිකුත් කළා ද?",0
67,දිනේෂ් ශාෆ්ටර් ඝාතනය සම්බන්ධයෙන් නලින්ද ජයතිස්සගේ අදහස් දැක්වීමක් ලෙස හුවමාරුවන ව්‍යාජ ට්විටර් පණිවිඩයක්!,1
68,සමගි ජන බලවේගයේ සහකාර ලේකම් ධුරයෙන් හේෂා විතානගේ ඉල්ලා අස්වුණා ද ?,0
69,අයිස් උවදුරෙන් සිංහලයන්ව බේරාගැනීමට නම් නාමල් ජනාධිපතිධුරයට පත්කළ යුතුයි- ඥානසාර හිමි ?,0
70,විෂ දුම පහ වෙනතෙක් රට වසා දමන ලෙස නලින්ද ජයතිස්ස පැවසුවා ද?,0
71,කොළඹ වරාය ජාඇළට ගෙන යන්න ජනපතිගෙන් තීරණයක්?,1
72,මහනුවර අම්පිටියේ සිසුවෙකුට ගිනි තැබීමේ සිදුවීමට ජවිපෙ සම්බන්ධ කරමින් හුවමාරු වන ව්‍යාජ පුවත් සංස්කරණයක්!,1
73,"සාරි වෙනුවට පහසු ඇඳුමකින් පාසල් ගිය තිලිණි ෂැල්වින්, ටිල්වින්ගේ දියණියක් ද ?",0
74,අලුත් ආණ්ඩුවක් පත්වන තුරු ලංකාවට ණය හෝ ආධාර ලබානොදීමට G7 කණ්ඩායමෙන් තීන්දුවක් ගෙන නැහැ!,1
75,අලුත් රැකියා ලක්ෂ 510ක් ලබා දෙන බවට විපක්ෂ නායකගෙන් ප්‍රකාශයක්?,0
76,"පසුගිය මානව හිමිකම් සමුළුවල දී ඉන්දියාවෙන් ලැබුණු සහය, නව ජනාධිපතිවරයාට මෙවර අහිමි වුණාද?",1
77,රාජ්‍ය ඇමතිවරුන්ගේ භාවිතය සදහා එක අයෙකුට 8 බැගින් වාහන 296 ක්??,1
78,"සනත් නිශාන්තගේ ගිනිබත් වූ නිවසට, රජයෙන් ලැබුණු කෝටි දෙකක වන්දියක්?",1
79,ලංකාවට මුදල් එවන ලෙස විදේශගත ශ්‍රමිකයන්ගෙන් හඳුන්නෙත්ති ඉල්ලීමක් සිදු කළාද?,0
80,ගෝල්ෆේස් එකට ගොඩ ගහන්නෙ රනිල් පැහැරගෙන ගිහින් මරපු අරගලකරුවන්ගේ සිරුරු බව පුබුදු ජයගොඩ ප්‍රකාශ කළාද?,0
81,“ජනාධිපතිතුමා රන්ජන්ට සමාව නොදෙන එක සාධාරණයි” හරීන් පැවසුවා ද?,0
82,"ත්‍රිරෝද රථ හිමියන්ට ඉන්ධන මදි නම්, වෙන රැකියාවක් කරන්න – ඇමති කාංචන ?",0
83,ජවිපෙ කුහකකම මේ රටේ නැත්නම් රට සංවර්ධනය කරන්න බැරිකමක් නෑ – නන්දන ලොකුවිතාන ?,1
84,මහාචාර්ය තිස්ස විතාරණ හදිසි නීතිය පැනවීමට පක්ෂව ඡන්දය ලබා දුන්නා ද?,0
85,"රනිල් වෙනුවෙන් ජනපති මැතිවරණයට සහය පැතීමට වජිර අබේවර්ධන, ඥානසාර හිමි හමුවෙයි?",0
86,ජනාධිපතිවරණය සඳහා මන්ත්‍රීවරුන් සම්බන්ධීකරණයට එජාපයෙන් පත් කළ දිස්ත්‍රික් නායකයින්ගේ ලිපියක් ?,0
87,කුමාර් ගුණරත්නම් අත්අඩංගුවට ?,0
88,"හිටපු අගමැති මහින්ද රාජපක්ෂ, මේ දිනවල දැඩි ලෙස රෝගාතුරව සිටින බවක් හැඟෙන සේ පළවන ප්‍රචාර අසත්‍යයි !",1
89,අරාබියේ ADNOC තෙල් සමාගමේ අධ්‍යක්ෂකවරුන් භාගයක්ම ලාංකිකයන් ද?,0
90,සුනිල් රත්නායකට ලබාදුන් ජනාධිපති සමාව ඉවත් කරන ලෙස ඉල්ලා ජවිපෙ අධිකරණයට ?,0
91,රුසියාව ඉන්ධන ලබා නොදෙන බවට බලශක්ති ඇමති ප්‍රකාශ කළාද?,0
92,අකමැත්තෙන් වුවත් රුපියල් 121ට ඉන්ධන ලබාගත් බව විජිත හේරත් පැවසුවා ද?,0
93,ගෝඨාභයට අප්‍රසාදය පළ කිරීමේ යෝජනාවට එරෙහිව රනිල් ඡන්දය පාවිච්චි කළාද ?,0
94,ශ්‍රී ලංකාවේ තත්ත්වය පාලනය කිරීමට මැදිහත් වෙන ලෙස අනුරගෙන් ඉන්දීය විදේශ අමාත්‍යවරයාට ලිපියක් ?,0
95,අගමැති ධුරයට පත්වීමේ සතුටට නර්ථනයක යෙදෙන රනිල් ?,1
96,"ගෝඨා ජනාධිපතිධූරයේ සිටියදී , මා අගමැතිවීම ස්ථිරයි – සජිත් ?",0
97,අගමැති ධුරයෙන් මහින්ද රාජපක්ෂ ඉල්ලා අස් වන බවට නාමල්ගෙන් ට්විටර් පණිවිඩයක් ?,0
98,යක්ෂයන්ගේ මුහුණු සහිත කමිස හැදි සජබ මන්ත්‍රීවරු ?,0
99,රනිල් හොරුන්ව ආරක්ෂා කළ බවට චෝදනා කරන සටන් පාඨයක් අතැතිව උද්ඝෝෂණයක යෙදී සිටින භාගේශ්වරී?,0
100,අනුර – සජිත් දෙදෙනාත් පැන්ඩෝරා පේපර්ස් වලට ඇතුළත්ද ?,0
101,විජිත හේරත් මත්පැන් බෝතලයක් පසෙකින් තබාගෙන ආහාර ගන්නා අවස්ථාවක්?,0
102,කොවිඩ් ආසාදිත බැසිල් සිනහමුසු මුහුණින් රෝහල්ගත වී පසුව රහසේම රටිනුත් පිටවුණාද ??,0
103,TIME සඟරාවේ ප්‍රධාන කවරයේ ගෝඨාභය රාජපක්ෂ ලෝකයේ නරකම ජනාධිපති ලෙස සඳහන් කළාද?,0
104,ලංකාවේ අර්බුදකාරී තත්වය අතරතුර ඉන්දියන් හමුදාවත් ලංකාවට ?,0
105,"මිරිහාන උද්ඝෝෂණයේ යෙදුනු ජනතාව, චතුර සේනාරත්නව එතනින් එලවා දැමුවාද ?",0
106,පෝලිම් යුගය පැය 24 න් අවසන් කළ හැකි බව විජිත හේරත් පැවසුවා ද?,0
107,කනක හේරත්ගේ මොරට රථයට ගෑස් සිලින්ඩර ප්‍රහාරයක් ?,0
108,රූපවාහිනියෙන් ඉවත්වී පාරමී රණසිංහ “සිරස” සමග එක්වෙයි??,0
109,විපක්ෂ නායක සජිත් ප්‍රේමදාස මහතා අගමැති ධුරයට පත් කිරීමේ තීරණයක්?,0
110,"“අපි ආවත් පෝළිම් තියයි, හැබැයි මිනිස්සු පෝළිමේ ඉන්නේ සතුටින්” හඳුන්නෙත්තිගෙන් ප්‍රකාශයක්?",0
111,මහින්ද රාජපක්ෂ ඇතුළු පිරිසක් බයිසිකලේ නැග පාර්ලිමේන්තු ආවේ ඉන්ධන මිල වැඩිවීමකට එරෙහිවද ?,1
112,ලයිට් කපන්න උනේ ජනතාව විදුලිය ගබඩා කර ගත්ත නිසා – ජොන්ස්ටන්?,0
113,දොළවත්ත සහ විදුර වික්‍රමනායක ගැන තීරණයක් ගත යුතු බවට ඇමති කංචන පැවසුවාද?,0
114,රිෂාඩ් බදියුද්දින් බලශක්ති අමාත්‍ය ධුරයට යෝජනා වේ?,0
115,2024 දී ජවිපෙ රජයක් ලබාගත නොහැකි වුවහොත් දේශපාලනයෙන් සමු ගන්නා බවට විජිත හේරත් පැවසුවාද?,0
116,හිටපු ජනාධිපති මහින්ද රාජපක්ෂ ලෝකයේ දූෂිතම ජනාධිපතිවරු 5 දෙනා අතරට?,0
117,කිරි සමන් සහෝදරයාගේ සහායත් මාලිමාවට ?,0
118,ඉදිරි අවුරුදු පහේ පසුතැවිල්ලක් නොවී සිටීමට ඡන්දය මාලිමාවට දෙන ලෙස පේෂල මනෝජ්ගෙන් ඉල්ලීමක්?,0
119,පොර්ට් සිටිය නැරඹීමට පැමිණෙන අය සම්බන්ධයෙන් හඳුන්නෙත්තිගෙන් ප්‍රකාශයක්?,1
120,88/89 යුගයේදී දෙමාපියන් ඝාතනය කළ ජවිපෙට ඡන්දය නොදෙන බවට කුමාර ධර්මසේනගෙන් ප්‍රකාශයක් ??,0
121,වෛද්‍ය රාජිත සේනාරත්න මියගිය බවට අසත්‍ය ප්‍රචාරයක්!,0
122,සුසිල් ප්‍රේමජයන්ත ජවිපෙ සමග එක්වෙයි ?,0
123,"රනිල් වික්‍රමසිංහ, ජවිපෙ සමග නව සන්ධානයක් පිහිටුවීමේ තීරණයක්?",1
124,ජුබිලි කණුවේ කිරි පෝලිම් ගැන අසත්‍ය තොරතුරු පැතිරවූ ජවිපෙ සාමාජිකයින් දෙදෙනෙකු CID භාරයට ??,1
125,මාධ්‍යවේදී චමුදිත සමරවික්‍රමත් මාලිමාවට එක්වෙයි ??,0
126,ඇමැති ප්‍රසන්න රණතුංගට තලවතුගොඩ හෝටලයකදී ජනතාවගෙන් හූ ප්‍රහාරයක්?,1
127,හිටපු ජනාධිපතිනි චන්ද්‍රිකාගෙන් ජනතා විමුක්ති පෙරමුණ දැඩිව විවේචනය කරමින් ප්‍රකාශයක්?,1
128,"තිස්ස කුට්ටිආරච්චිට අලුත් ප්‍රාඩෝ රථයක්, ආණ්ඩුවෙන් තෑගි?",0
129,ශ්‍රී ලංකා නිදහස් පක්ෂය සමග එකතුවීමට අකමැත්තක් නැති බවට අනුර කුමාරගෙන් ප්‍රකාශයක්?,0
130,ශ්‍රී ලාංකික පුරුෂයන්ට ස්ත්‍රීන් දෙදෙනෙකු සමග විවාහ වීමට අවසර ලබාදෙන කෙටුම්පතක් ?,0
131,අනුර කුමාරගේ මීඩියා කැම්පේන් එක දැන් කරන්නේ බැසිල් රාජපක්ෂ බවට කුමාර් ගුණරත්නගෙන් ප්‍රකාශයක් ?,0
132,මහින්ද රාජපක්ෂ සමග තමා පෙනී සිටින සියලු ඡායාරූප ඉවත්කරන ලෙස බ්‍රිතාන්‍ය මහ රැජිනගෙන් BBC යට ඉල්ලීමක් !,0
133,ජනතා විමුක්ති පෙරමුණ හා එහි තරුණ සංගමය සම්බන්ධ නොමඟ යවන සුළු සටහන්!,0
134,අඳ ගොවීන් සම්බන්ධයෙන් ජනාධිපති සහ විපක්ෂ නායක විසින් සිදු කළ ප්‍රකාශයක්ද?,0
135,මූසල දෙවසර නමින් මෑතකදී ආණ්ඩු පක්ෂයේ උද්ඝෝෂණයක්?,0
136,LPL ගහන්නේ ආණ්ඩුවේ සල්ලි වලින් බවට විපක්ෂනායක වරයාගේ ප්‍රකාශයක්?,0
137,කෝටි 28 ක ගණුදෙනුවට ඇමති ජොන්ස්ටන් සම්බන්ධ බවට ලංකාදීප වාර්තා කරාද?,0
138,එළැඹෙන මැතිවරණයේදී ඡන්දය ජවිපෙට ලබා දෙන ලෙසට ශිහාන් මිහිරංගගෙන් ඉල්ලීමක් ?,0
139,2022 අයවැය යෝජනාවෙන් අමාත්‍යවරුන් හා ආයතන ප්‍රධානීන්ට ලබාදෙන ඉන්ධන දීමනා මුළුමනින් කපා දැමුවාද?,0
140,මහබාගේ අනතුරේ 16 හැවිරිදි තරුණයාගේ පියා ජාතික ජන බලවේගයේ ඉස්මයිල් ආබ්දීන් ද?,0
141,බිමල් රත්නායකගේ බෙන්තර සුපිරි නිවස?,0
142,ඉදිරි ජනාධිපතිවරණය සඳහා ජ.වි.පෙ ප්‍රචාරණ කටයුතු වෙනුවන් Ogilvy සිදුකළ යෝජනාවක්?,0
143,ගෑස් මිල ඉහළ යාම සම්බන්ධයෙන් ජවිපෙ නායකයා පැවසූ බවට පළවන ව්‍යාජ සටහන් පෙළක්.,1
144,අමාත්‍ය උදය ගම්මන්පිලගේ බිරිඳට ඉරානයේ දී ෆර්දාවක් ඇන්දුවද?,0
145,ජාතික ජන බලවේගයේ නායකයන් සම්බන්ධ කර ගනිමින් පළවූ ව්‍යාජ සහ නොමඟ යවන සුළු සටහන් පෙළක්!,1
146,පැන්ඩෝරා පත්‍රිකා පළ කරන්නේ කොටි ඩයස්පෝරා සමාගමක් බව බැසිල් පැවසුවාද ?,0
147,අනුර කුමාර දිසානායක යනු මව්බිමේ අවසන් බලාපොරොත්තුව බවට අභිෂේකා පැවසුවාද?,0
148,කොරෝනා පාලනය වී ඇත්තේ රජය හරි තීන්දු ගත් නිසා බවට රෝසිගෙන් මෑතක දී ප්‍රකාශයක්?,1
149,එක්සත් ජාතීන්ගේ සමුළුවේ දී ජනාධිපති ගෝඨාභයගේ කතාව අතරතුර සභා ගැබේ සිටි පිරිසක් ඉන් ඉවත්වුණා ද?,0
150,විපක්ෂ නායකවරයාගේ පෞද්ගලික රියැදුරු නිධන් හාරා පොලිස් අත්අඩංගුවට?,0
151,මංගල සමරවීර මහතාගේ මරණය සම්බන්ධයෙන් නලින්ද ජයතිස්ස මහතා සිදු කළ බව පැවසෙන ව්‍යාජ ප්‍රකාශයක් !,1
152,පැරා ඔලිම්පික් ශුරයා පිළිබඳ බිමල් රත්නායක දැක්වූ අදහස් බවට ව්‍යාජ සටහනක්!,1
153,මෙරට එන්නත්කරණයේ දී කොටසකට වතුර එන්නත් කරන බවක් බැසිල් කිව්වා ද?,1
154,නලින්ද ජයතිස්ස මහතා චීන එන්නත් පිළිබදව සිදුකළ ප්‍රකාශයක් සහ ජාතික ජන බලවේගය විසින් නම් කළ ඡායා කැබිනෙට්ටුවක්?,0
155,ලංකාවේ නිෂ්පාදිත ඇන්ටිජන් කට්ටලයක් දැන් රු.80 කට?,0
156,ඇෆ්ගනිස්තාන විප්ලවයට ජවිපෙන් සුබාශිංසන?,0
157,නව මුදල් ඇමති විසින් ආහාර කිහිපයක් සඳහා නව බදු පැනවුවා ද?,1
158,බදුයුදීන් බේරාගන්න කාදිනල්තුමා හමුවට ගිය විපක්ෂ නායකවරයාව කාදිනල්තුමා බැනලා පන්නගත්තද?,0
159,මහින්ද ජයසිංහගේ බිරිඳටත් ඩෙල්ටා ප්‍රභේදය වැළදෙයි ?,0
160,කතානායකවරයා මැදිහත්ව කාපට් කළ මාර්ගයේ වළවල්?,0
161,බිමල් රත්නායකගේ නිවසේ ළමා මෙහෙකාරියක් සිටි බවට පළ වූ පුවතක්?,0
162,අර්ථසාධකය ලක්ෂ 7 ට වැඩි නම් 14% ක බද්දක්?,0
163,පෝට්සිටි පනතට දැක්වු සහයට පෝට්සිටි ලොක්කාගෙන් රනිල්ට ස්තූතිය?,0
164,“ගුරු වැටුප් වැඩි කරන්න සල්ලි නෑ. එන්නත ගේන්න සල්ලි තියෙනවා” යනුවෙන් ස්ටාලින් පැවසුවාද?,0
165,වරකාපොළ හිටපු ප්‍රාදේශීය සභාපතිවරයෙකුට මෑතක දී ජනපති සමාව හිමිවුණා ද?,0
166,රනිල් වික්‍රමසිංහට බ්‍රිතාන්‍ය නයිට් පදවියක් ?,0
167,"අත්සන් කරන්න දීපු පෑන, බැසිල් රාජපක්ෂා මහතා සාක්කුවේ දා රැගෙන ගියා ද?",0
168,ලංකාවේ තියෙන්නේ කාබනික පොහොර මාෆියාවක් යනුවෙන් නලින්ද ජයතිස්ස පැවසුවාද?,1
169,වියත්මග සභාපතිකම නාමල්ට ලබාදීම පිළිබඳ සාකච්ඡාවක්?,0
170,Forbes සඟරාව ශ්‍රී ලංකාවේ ධනවත්ම දේශපාලඥයින් දස දෙනාගේ වත්කම් හෙළි කළාද?,0
171,සෞඛ්‍ය සේවයේ පිං පඩි කාරයන් ගැන උපුල් ගලප්පත්ති කිව්වද?,1
172,මනීශා චංචලා රංගන ශිල්පිනිය සජිත් ප්‍රේමදාස මහතා වෙනුවෙන් සහය දක්වන ආකාරයේ ඡායාරුපයකට පෙනී සිටියා ද?,0
173,රනිල් වික්‍රමසිංහ විපක්ෂ නායක කරන ලෙස ජවිපෙන් ඉල්ලීමක්?,0
174,X Press Pearl නෞකාවෙන් වෙරළට ගසා ගෙන ආ කොටස් ලබා ගැනීමට වෙරළට පැමිණියේ ජ.වි.පෙ තොප්පියක් දමාගත් පුද්ගලයෙක්?,0
175,අනුරගෙන් WHO අධ්‍යක්ෂ ජනරාල්ට ලිපියක්?,0
176,PORT CITY COLOMBO (PVT) LTD චතුර කබ්රාල්ට අයිති සමාගමක් ද?,0
177,චීන තානාපති කාර්යාලයෙන් සිරසට සුබපතා ට්විටර් පණිවුඩයක්?,1
178,කොළඹ වරාය නගරය සඳහා වෙනම විදේශ ගමන් බලපත්‍රයක්?,0
179,වරාය නගර පනත් කෙටුම්පත් ඡන්ද විමසීමේ දී සජිත් ඡන්දය දීමෙන් වැළකී සිටියා ද?,0
180,නාමල්ගේ ඇඳන් 10000 ව්‍යාපෘතියට සුදර්ශනී බාධා කළා ද?,0
181,කොවිඩ් පොසිටිව් වී සුනිල් හඳුන්නෙත්ති මහතා IDH රෝහලේ ප්‍රතිකාර ලබාගත්තා ද?,0
182,අනුරකුමාර හා සමන්රත්නප්‍රිය රාත්‍රී සමාජ ශාලාවක හමුවුණා ද?,0
